seed,model_path,task_list,offloading,architecture,channel,heavy_const,q_bits,finetune_dataset,head_sparsity_aggression,do_downstream_eval,do_longbench_eval,longbench_datasets,model_mode,model_load_path,model_resume_path,save_interval,calibrate_thresholds,randomize_init,test_with_thresholds,gfac,immediate_train,ssmize_predictor,flash_attn,train_headpredictor,min_sparse_index,attn_reduce_factor,head_attn_reduce_factor,pred_lr,dDash,skip_outlier,no_pred_causal_mask,evalgap,max_norm,intdim,token_sparse_method,eval_llm_mode,proj_name,eval_subset,train_subset_fac,rpj_train_seqlen,eval_wk2_seqlen,grad_accum_steps,producer_frequency,group_factor,num_tok_per_page,stream_llm_start_size,lfunc,no_wandb,no_wikitext_eval,result_file,wname,do_wikitext_eval,net_sparsity,true_token_sparsity,perplexity,arc_easy_acc,hellaswag_acc,piqa_acc,winogrande_acc
42,microsoft/Phi-3-mini-4k-instruct,"['winogrande', 'hellaswag', 'piqa', 'arc_easy']",False,phi3,qk,128,4,c4_realnewslike,0.5,True,False,"['triviaqa', 'qasper', 'trec', 'samsum', 'lcc', 'repobench-p', 'qmsum', 'multi_news']",eval,/home/ya255/projects/all_contextual/expt_model/42_microsoft_Phi-3-mini-4k-instruct_False_phi3_qk_128_4_c4_realnewslike_0.5_True_False_finetune_None_None_5000_False_False_False_1_False_False_False_False_4_8_2/0.001_16_None_False_1000_20_1024_fixed_40pc_ExpPred_AllContextual_Jan9_1000_4_1024_1024_1_32_4_16_4_MSE_False_False_P3mini_1k_1PC.csv_P3mini_1k_1PC_True_0.3875000000000002_20250115-200756.pt,,5000,False,False,False,1,False,False,False,False,4,8,2,0.001,16,,False,1000,20,1024,fixed_10pc,ExpPred,AllContextual_ICML,2500,4,1024,1024,1,32,4,16,4,MSE,True,False,P3mini_1k_1PC.csv,P3mini_1k_1PC,True,0.096875,9.286430687643588,6.907512187957764,0.8186026936026936,0.5216,0.8073993471164309,0.7403314917127072
42,microsoft/Phi-3-mini-4k-instruct,"['winogrande', 'hellaswag', 'piqa', 'arc_easy']",False,phi3,qk,128,4,c4_realnewslike,0.5,True,False,"['triviaqa', 'qasper', 'trec', 'samsum', 'lcc', 'repobench-p', 'qmsum', 'multi_news']",eval,/home/ya255/projects/all_contextual/expt_model/42_microsoft_Phi-3-mini-4k-instruct_False_phi3_qk_128_4_c4_realnewslike_0.5_True_False_finetune_None_None_5000_False_False_False_1_False_False_False_False_4_8_2/0.001_16_None_False_1000_20_1024_fixed_40pc_ExpPred_AllContextual_Jan9_1000_4_1024_1024_1_32_4_16_4_MSE_False_False_P3mini_1k_1PC.csv_P3mini_1k_1PC_True_0.3875000000000002_20250115-200756.pt,,5000,False,False,False,1,False,False,False,False,4,8,2,0.001,16,,False,1000,20,1024,fixed_20pc,ExpPred,AllContextual_ICML,2500,4,1024,1024,1,32,4,16,4,MSE,True,False,P3mini_1k_1PC.csv,P3mini_1k_1PC,True,0.1937500000000001,18.793118884786963,6.927016735076904,0.8198653198653199,0.5212,0.7992383025027203,0.734017363851618
42,microsoft/Phi-3-mini-4k-instruct,"['winogrande', 'hellaswag', 'piqa', 'arc_easy']",False,phi3,qk,128,4,c4_realnewslike,0.5,True,False,"['triviaqa', 'qasper', 'trec', 'samsum', 'lcc', 'repobench-p', 'qmsum', 'multi_news']",eval,/home/ya255/projects/all_contextual/expt_model/42_microsoft_Phi-3-mini-4k-instruct_False_phi3_qk_128_4_c4_realnewslike_0.5_True_False_finetune_None_None_5000_False_False_False_1_False_False_False_False_4_8_2/0.001_16_None_False_1000_20_1024_fixed_40pc_ExpPred_AllContextual_Jan9_1000_4_1024_1024_1_32_4_16_4_MSE_False_False_P3mini_1k_1PC.csv_P3mini_1k_1PC_True_0.3875000000000002_20250115-200756.pt,,5000,False,False,False,1,False,False,False,False,4,8,2,0.001,16,,False,1000,20,1024,fixed_30pc,ExpPred,AllContextual_ICML,2500,4,1024,1024,1,32,4,16,4,MSE,True,False,P3mini_1k_1PC.csv,P3mini_1k_1PC,True,0.290625,28.251461498439312,6.949891567230225,0.8131313131313131,0.52,0.7981501632208923,0.7198105761641673
42,microsoft/Phi-3-mini-4k-instruct,"['winogrande', 'hellaswag', 'piqa', 'arc_easy']",False,phi3,qk,128,4,c4_realnewslike,0.5,True,False,"['triviaqa', 'qasper', 'trec', 'samsum', 'lcc', 'repobench-p', 'qmsum', 'multi_news']",eval,/home/ya255/projects/all_contextual/expt_model/42_microsoft_Phi-3-mini-4k-instruct_False_phi3_qk_128_4_c4_realnewslike_0.5_True_False_finetune_None_None_5000_False_False_False_1_False_False_False_False_4_8_2/0.001_16_None_False_1000_20_1024_fixed_40pc_ExpPred_AllContextual_Jan9_1000_4_1024_1024_1_32_4_16_4_MSE_False_False_P3mini_1k_1PC.csv_P3mini_1k_1PC_True_0.3875000000000002_20250115-200756.pt,,5000,False,False,False,1,False,False,False,False,4,8,2,0.001,16,,False,1000,20,1024,fixed_40pc,ExpPred,AllContextual_ICML,2500,4,1024,1024,1,32,4,16,4,MSE,True,False,P3mini_1k_1PC.csv,P3mini_1k_1PC,True,0.3875000000000002,37.72662486881018,6.984608173370361,0.8080808080808081,0.5156,0.7997823721436343,0.7150749802683505
42,microsoft/Phi-3-mini-4k-instruct,"['winogrande', 'hellaswag', 'piqa', 'arc_easy']",False,phi3,qk,128,4,c4_realnewslike,0.5,True,False,"['triviaqa', 'qasper', 'trec', 'samsum', 'lcc', 'repobench-p', 'qmsum', 'multi_news']",eval,/home/ya255/projects/all_contextual/expt_model/42_microsoft_Phi-3-mini-4k-instruct_False_phi3_qk_128_4_c4_realnewslike_0.5_True_False_finetune_None_None_5000_False_False_False_1_False_False_False_False_4_8_2/0.001_16_None_False_1000_20_1024_fixed_40pc_ExpPred_AllContextual_Jan9_1000_4_1024_1024_1_32_4_16_4_MSE_False_False_P3mini_1k_1PC.csv_P3mini_1k_1PC_True_0.3875000000000002_20250115-200756.pt,,5000,False,False,False,1,False,False,False,False,4,8,2,0.001,16,,False,1000,20,1024,fixed_50pc,ExpPred,AllContextual_ICML,2500,4,1024,1024,1,32,4,16,4,MSE,True,False,P3mini_1k_1PC.csv,P3mini_1k_1PC,True,0.484375,47.30028212070465,7.052220821380615,0.8047138047138047,0.5168,0.7932535364526659,0.7040252565114443
42,microsoft/Phi-3-mini-4k-instruct,"['winogrande', 'hellaswag', 'piqa', 'arc_easy']",False,phi3,qk,128,4,c4_realnewslike,0.5,True,False,"['triviaqa', 'qasper', 'trec', 'samsum', 'lcc', 'repobench-p', 'qmsum', 'multi_news']",eval,/home/ya255/projects/all_contextual/expt_model/42_microsoft_Phi-3-mini-4k-instruct_False_phi3_qk_128_4_c4_realnewslike_0.5_True_False_finetune_None_None_5000_False_False_False_1_False_False_False_False_4_8_2/0.001_16_None_False_1000_20_1024_fixed_40pc_ExpPred_AllContextual_Jan9_1000_4_1024_1024_1_32_4_16_4_MSE_False_False_P3mini_1k_1PC.csv_P3mini_1k_1PC_True_0.3875000000000002_20250115-200756.pt,,5000,False,False,False,1,False,False,False,False,4,8,2,0.001,16,,False,1000,20,1024,fixed_60pc,ExpPred,AllContextual_ICML,2500,4,1024,1024,1,32,4,16,4,MSE,True,False,P3mini_1k_1PC.csv,P3mini_1k_1PC,True,0.58125,56.71119596809149,7.1692657470703125,0.7925084175084175,0.5036,0.7867247007616975,0.665351223362273
42,microsoft/Phi-3-mini-4k-instruct,"['winogrande', 'hellaswag', 'piqa', 'arc_easy']",False,phi3,qk,128,4,c4_realnewslike,0.5,True,False,"['triviaqa', 'qasper', 'trec', 'samsum', 'lcc', 'repobench-p', 'qmsum', 'multi_news']",eval,/home/ya255/projects/all_contextual/expt_model/42_microsoft_Phi-3-mini-4k-instruct_False_phi3_qk_128_4_c4_realnewslike_0.5_True_False_finetune_None_None_5000_False_False_False_1_False_False_False_False_4_8_2/0.001_16_None_False_1000_20_1024_fixed_40pc_ExpPred_AllContextual_Jan9_1000_4_1024_1024_1_32_4_16_4_MSE_False_False_P3mini_1k_1PC.csv_P3mini_1k_1PC_True_0.3875000000000002_20250115-200756.pt,,5000,False,False,False,1,False,False,False,False,4,8,2,0.001,16,,False,1000,20,1024,fixed_10pc,oracle,AllContextual_ICML,2500,4,1024,1024,1,32,4,16,4,MSE,True,False,P3mini_1k_1PC_oracle.csv,P3mini_1k_1PC_oracle,True,0.096875,9.198869531974196,6.896588325500488,0.8173400673400674,0.5196,0.8035908596300326,0.7363851617995264
42,microsoft/Phi-3-mini-4k-instruct,"['winogrande', 'hellaswag', 'piqa', 'arc_easy']",False,phi3,qk,128,4,c4_realnewslike,0.5,True,False,"['triviaqa', 'qasper', 'trec', 'samsum', 'lcc', 'repobench-p', 'qmsum', 'multi_news']",eval,/home/ya255/projects/all_contextual/expt_model/42_microsoft_Phi-3-mini-4k-instruct_False_phi3_qk_128_4_c4_realnewslike_0.5_True_False_finetune_None_None_5000_False_False_False_1_False_False_False_False_4_8_2/0.001_16_None_False_1000_20_1024_fixed_40pc_ExpPred_AllContextual_Jan9_1000_4_1024_1024_1_32_4_16_4_MSE_False_False_P3mini_1k_1PC.csv_P3mini_1k_1PC_True_0.3875000000000002_20250115-200756.pt,,5000,False,False,False,1,False,False,False,False,4,8,2,0.001,16,,False,1000,20,1024,fixed_20pc,oracle,AllContextual_ICML,2500,4,1024,1024,1,32,4,16,4,MSE,True,False,P3mini_1k_1PC_oracle.csv,P3mini_1k_1PC_oracle,True,0.1937500000000001,18.641934171319008,6.896953105926514,0.8177609427609428,0.5196,0.8030467899891186,0.7371744277821626
42,microsoft/Phi-3-mini-4k-instruct,"['winogrande', 'hellaswag', 'piqa', 'arc_easy']",False,phi3,qk,128,4,c4_realnewslike,0.5,True,False,"['triviaqa', 'qasper', 'trec', 'samsum', 'lcc', 'repobench-p', 'qmsum', 'multi_news']",eval,/home/ya255/projects/all_contextual/expt_model/42_microsoft_Phi-3-mini-4k-instruct_False_phi3_qk_128_4_c4_realnewslike_0.5_True_False_finetune_None_None_5000_False_False_False_1_False_False_False_False_4_8_2/0.001_16_None_False_1000_20_1024_fixed_40pc_ExpPred_AllContextual_Jan9_1000_4_1024_1024_1_32_4_16_4_MSE_False_False_P3mini_1k_1PC.csv_P3mini_1k_1PC_True_0.3875000000000002_20250115-200756.pt,,5000,False,False,False,1,False,False,False,False,4,8,2,0.001,16,,False,1000,20,1024,fixed_30pc,oracle,AllContextual_ICML,2500,4,1024,1024,1,32,4,16,4,MSE,True,False,P3mini_1k_1PC_oracle.csv,P3mini_1k_1PC_oracle,True,0.290625,28.069458715617657,6.8966965675354,0.8169191919191919,0.5204,0.8035908596300326,0.7363851617995264
42,microsoft/Phi-3-mini-4k-instruct,"['winogrande', 'hellaswag', 'piqa', 'arc_easy']",False,phi3,qk,128,4,c4_realnewslike,0.5,True,False,"['triviaqa', 'qasper', 'trec', 'samsum', 'lcc', 'repobench-p', 'qmsum', 'multi_news']",eval,/home/ya255/projects/all_contextual/expt_model/42_microsoft_Phi-3-mini-4k-instruct_False_phi3_qk_128_4_c4_realnewslike_0.5_True_False_finetune_None_None_5000_False_False_False_1_False_False_False_False_4_8_2/0.001_16_None_False_1000_20_1024_fixed_40pc_ExpPred_AllContextual_Jan9_1000_4_1024_1024_1_32_4_16_4_MSE_False_False_P3mini_1k_1PC.csv_P3mini_1k_1PC_True_0.3875000000000002_20250115-200756.pt,,5000,False,False,False,1,False,False,False,False,4,8,2,0.001,16,,False,1000,20,1024,fixed_40pc,oracle,AllContextual_ICML,2500,4,1024,1024,1,32,4,16,4,MSE,True,False,P3mini_1k_1PC_oracle.csv,P3mini_1k_1PC_oracle,True,0.3875000000000002,37.532744742929935,6.896196842193604,0.8160774410774411,0.5184,0.8035908596300326,0.7434885556432518
